44	S
45	S
46	S
47	S
53	S
54	S
55	S
56	S
63	S
64	S
65	S
66	S
74	S
75	S
76	S
77	S
78	S
87	T
88	T
89	T
90	T
116	T
117	T
118	T
119	T
135	L
136	L
137	L
138	L
150	T
151	T
152	T
153	T
154	T
174	L
175	L
176	L
183	L
184	L
185	L
186	L
193	T
194	T
195	T
196	T
197	T
210	S
211	S
212	S
213	S
214	S
225	L
226	L
227	L
228	L
234	S
235	S
236	S
237	S
254	S
255	S
256	S
257	S
258	S
268	L
269	L
270	L
271	L
285	L
286	L
297	L
298	L
299	L
312	T
313	T
314	T
315	T
316	T
334	T
335	T
336	T
337	T
348	T
349	T
349	L
350	T
351	T
352	T
353	T
357	T
358	T
359	T
360	T
362	L
363	L
364	L
365	L
373	L
374	L
375	L
395	T
396	T
397	T
